CourseId,DepartmentId,CreditHours,IsArchived,InstructorId,EnrolledStudents,TotalActivities,QuizCount,AssignmentCount,LectureCount,QuizDensity,AssignmentDensity,CompletionRate,AvgProgress,AvgTimeMinutes,DropoutRate,AvgQuizScore,QuizPassRate,AvgAttempts,TotalAttempts,AvgAssignGrade,AssignLateRate,CourseDifficultyIndex
181,2,3,False,10,65.0,20,10,5,5,0.5,0.25,0.576,72.3,49.838,0.424,52.345,0.286,1.562,283.0,38.126,0.395,0.5382
182,3,1,False,12,64.0,10,4,0,6,0.4,0.0,0.543,67.565,50.657,0.457,53.885,0.26,1.58,50.0,0.0,0.0,0.5527
183,3,1,True,13,69.0,18,2,6,10,0.1111,0.3333,0.522,69.964,52.55,0.478,0.0,0.0,0.0,0.0,12.472,0.19,0.0
184,2,3,True,12,0.0,14,3,4,7,0.2143,0.2857,0.604,70.762,51.166,0.396,53.373,0.287,1.783,143.0,20.076,0.053,0.5251
185,2,2,True,14,0.0,7,1,1,5,0.1429,0.1429,0.569,67.784,50.024,0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,3,2,True,11,50.0,10,6,3,1,0.6,0.3,0.608,72.176,54.404,0.392,48.68,0.28,1.266,143.0,16.692,0.0,0.5417
187,3,2,False,12,61.0,16,6,1,9,0.375,0.0625,0.576,70.136,49.054,0.424,50.667,0.214,1.0,42.0,13.45,0.0,0.5678
188,2,3,False,1,58.0,18,1,2,15,0.0556,0.1111,0.512,68.708,49.858,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,2,3,False,10,69.0,3,0,1,2,0.0,0.3333,0.647,72.49,56.614,0.353,0.0,0.0,0.0,0.0,38.011,0.543,0.0
190,3,4,True,11,72.0,14,7,0,7,0.5,0.0,0.488,64.537,51.18,0.512,44.1,0.194,1.0,31.0,0.0,0.0,0.6257
191,2,3,False,10,59.0,10,2,0,8,0.2,0.0,0.52,69.6,48.323,0.48,53.303,0.35,1.617,60.0,0.0,0.0,0.5323
192,2,3,False,11,72.0,7,1,3,3,0.1429,0.4286,0.595,73.333,56.858,0.405,0.0,0.0,0.0,0.0,13.346,0.0,0.0
193,3,1,True,14,44.0,11,1,1,9,0.0909,0.0909,0.547,69.281,54.189,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,3,2,False,12,68.0,14,2,5,7,0.1429,0.3571,0.523,64.841,52.826,0.477,54.517,0.356,1.622,45.0,36.657,0.909,0.5253
195,2,4,True,6,0.0,3,2,0,1,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,2,2,True,8,64.0,8,0,2,6,0.0,0.25,0.538,68.87,47.186,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2,2,False,6,52.0,4,1,0,3,0.25,0.0,0.574,76.733,48.426,0.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,3,4,True,13,72.0,15,4,2,9,0.2667,0.1333,0.448,62.759,45.959,0.552,53.667,0.282,1.0,39.0,0.0,0.0,0.5778
199,2,4,True,6,0.0,5,1,3,1,0.2,0.6,0.0,0.0,0.0,0.0,53.714,0.279,1.686,86.0,0.0,0.0,0.0
200,3,4,True,10,68.0,11,1,5,5,0.0909,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.173,0.818,0.0
